t,x,y,z
628.3185307179587,0.98784941573006,0.0,0.0
628.2713646104957,0.9878483125725445,-4.2588875740514317e-7,-5.717754307413893e-7
628.1696121522358,0.9878384383340155,-4.237962812916043e-6,-5.689672741594461e-6
627.9783742717481,0.987792619512957,-2.192641841334427e-5,-2.9437923414495445e-5
627.6726965909274,0.9876501468147351,-7.691783330862404e-5,-0.00010328206771925242
627.323811140348,0.9874005690545687,-0.00017318062182751406,-0.00023263313996954387
626.9486824974239,0.9870646602857341,-0.0003025083354577191,-0.0004066976331100856
626.5466777247123,0.9866826250119193,-0.00044904586567023815,-0.0006045653649784671
626.1271862660988,0.986328235826838,-0.0005839994482753245,-0.0007878763040406908
625.6926313056781,0.9860772539978104,-0.0006781000566258252,-0.0009172283867878333
625.2468456809313,0.9859934946102645,-0.0007072501170052944,-0.0009595064739889698
624.7903985618756,0.9861076079828497,-0.0006606318546068981,-0.0008989814007902538
624.3224855500423,0.986408347288663,-0.0005436734689730848,-0.0007418710573340289
623.8406268589661,0.9868401278012854,-0.0003784227915411937,-0.0005175157226492293
623.3424875300193,0.9873061365971532,-0.00020193743927025793,-0.00027656512011414914
622.8323635355713,0.987679109315206,-6.209500778792622e-5,-8.510723304680239e-5
622.3212219364955,0.987845960516406,-9.713566384871909e-7,-1.3338813510475669e-6
621.8082812513866,0.9877593192830914,-3.581700650298544e-5,-4.907477726540008e-5
621.2932346102982,0.9874403914102396,-0.0001579530714630939,-0.00021654978279088177
620.7760058969726,0.9869753907506076,-0.00033394355509683586,-0.0004584061279577084
620.2597056213843,0.9864957487853051,-0.0005132813278774778,-0.0007061076137785374
619.7470965861339,0.9861356416068812,-0.0006451141945114606,-0.0008900966761709006
619.2384717287384,0.9859900165782307,-0.0006945696546526941,-0.0009616323378966668
618.731978905707,0.9860937588769731,-0.0006503584738782101,-0.0009035683574554318
618.2237407201062,0.9864197044636811,-0.0005246608621281461,-0.0007312111285125972
617.7085743163399,0.9868871288643485,-0.00034901908663874354,-0.0004876106421119685
617.1823989948921,0.9873730063880759,-0.00016958856084511398,-0.00023732108743971744
616.6507997468402,0.9877305313657705,-4.017659901204071e-5,-5.629573104731486e-5
616.1237299765326,0.9878489434997246,-4.990036289833472e-7,-6.923352745297109e-7
615.597815870021,0.9876981811053656,-6.0382960215579336e-5,-8.443492942394614e-5
615.072402369903,0.9873228455105427,-0.00020200060789595688,-0.00028278122852897614
614.5472992252256,0.9868314114528629,-0.0003838935057289972,-0.000538333135532761
614.0257069430374,0.9863675529936867,-0.0005520851681218082,-0.0007761939578991876
613.5094286831084,0.9860613825810088,-0.0006588795096910545,-0.0009294177005385283
612.9977757493966,0.9859920345756875,-0.0006768595484891557,-0.0009583009484332005
612.488151565376,0.9861737324012387,-0.0006033616215521522,-0.0008573256361803534
611.9756146948009,0.9865594351395118,-0.0004580154078843502,-0.0006528471543750123
611.4551178272951,0.9870510655840092,-0.0002780657120194441,-0.0003973214598988433
610.9239936537947,0.9875130774545968,-0.0001129461559506424,-0.00016169723097078008
610.3924544441935,0.9878000038822543,-1.4230983922995799e-5,-2.0457330513220953e-5
609.8650556356648,0.987827465848332,-1.0611177671341978e-5,-1.5091902023160062e-5
609.3387122527565,0.9875912169336142,-0.00010173802608901102,-0.00014525229116078478
608.8126526259382,0.9871602843625275,-0.0002607539181486553,-0.00037291445878314425
608.2879861937795,0.9866603102793686,-0.00044063760005567763,-0.0006315990947808238
607.7677946451753,0.9862365286163824,-0.0005883863703767146,-0.0008459760194828961
607.2529750978684,0.9860050443043631,-0.0006632601322744804,-0.0009571557652972953
606.742097411792,0.9860235111915788,-0.0006471188793479676,-0.0009375277961935491
606.2319572575601,0.986283961068221,-0.0005459740405241679,-0.0007939401165040185
605.7170081982574,0.9867204709955683,-0.0003859894206279422,-0.0005630997361696371
605.1926501854302,0.9872198137620588,-0.00020881819917358205,-0.00030544714088659474
604.659548952044,0.9876374615331511,-6.548567820851409e-5,-9.608600861336198e-5
604.1298868972755,0.9878406252815346,-1.1665095871137566e-6,-1.7872007882110814e-6
603.6027919826166,0.987773736045411,-3.310375275507842e-5,-4.811108462555702e-5
603.0767107900043,0.9874586020006951,-0.00015111272890162432,-0.00022039180163135522
602.5508097968258,0.9869866687927147,-0.0003205697880827681,-0.00046861382105747694
602.0274769143145,0.9864961275354776,-0.00049111252060614,-0.0007199661261692973
601.5091569132086,0.9861272717304348,-0.000613353487810525,-0.0009024004990712527
600.9959313740667,0.9859784033336398,-0.0006547566310090149,-0.0009672513973721479
600.4856981875753,0.9860845963362613,-0.000606424446135493,-0.000899598652942918
599.9743918685092,0.986416625266658,-0.0004821578098367332,-0.000718047850524671
599.456660402298,0.9868905975692871,-0.0003138285706883525,-0.0004689754605283632
598.9284373452572,0.9873801265392185,-0.00014635523984714207,-0.00021944890571560073
598.3953955546444,0.9877362607547581,-3.0394316004590964e-5,-4.590214692165507e-5
597.8671935918909,0.9878487244959748,-1.4723620894411478e-6,-2.1315745710111713e-6
597.3404612425172,0.9876894978617222,-6.629093933148457e-5,-9.8460913690871e-5
596.8145177093093,0.9873061651945226,-0.00020542350402503667,-0.0003062332627480135
596.2891892265275,0.9868099942676201,-0.00037795694950811367,-0.0005650873842238113
595.7674913820416,0.9863460443685362,-0.0005326966845309078,-0.0007992110017601246
595.2510522498347,0.9860442776189838,-0.0006258999210512331,-0.0009429169838296496
594.7391449794774,0.9859826340877975,-0.0006338613309255446,-0.0009592006301346457
594.2291557943054,0.9861733890408575,-0.0005564922250258808,-0.0008458948870120317
593.7161124330433,0.9865672069454503,-0.0004144247940044117,-0.0006325867029840898
593.1950795751825,0.9870635544007764,-0.00024428535621799966,-0.00037436743667803533
592.6636570856688,0.9875248487666153,-9.316880055602113e-5,-0.00014352930769335627
592.1321645313878,0.9878056503950707,-8.389802712208176e-6,-1.3272410508704541e-5
591.6047346364098,0.9878237951980314,-1.4364164134577257e-5,-2.1560570214025537e-5
591.0784825537567,0.9875777665205083,-0.00010805318254817572,-0.00016409151783174488
590.5526220331119,0.9871395220441753,-0.00026183314615436167,-0.00039922430699241613
590.0283066468968,0.9866368294227765,-0.0004302203943457519,-0.0006583278970785151
589.5084039220995,0.9862153075664296,-0.000563758528428747,-0.0008662295202283219
588.9937251422529,0.985990205827674,-0.0006258155731300327,-0.0009660766401223985
