Initial Conditions for C = 2.95
==================================================
  Traj |     P1      |     P2      |     P3      |     P4      |
-------|-------------|-------------|-------------|-------------|
    1  | +0.033934 | +0.032667 | +0.037501 | +0.076314 |
    2  | -0.041554 | +0.026146 | -0.001332 | -0.083885 |
    3  | -0.073676 | +0.014237 | +0.061159 | +0.008801 |
    4  | +0.016445 | +0.064852 | -0.031574 | -0.063052 |
    5  | -0.057479 | -0.004228 | -0.039546 | -0.067551 |
    6  | -0.047711 | +0.030448 | +0.046325 | -0.064026 |
    7  | -0.056826 | -0.053675 | +0.057194 | -0.008214 |
    8  | -0.053147 | -0.034445 | +0.063747 | +0.037069 |
