Initial Conditions for C = 3.15
==================================================
  Traj |     P1      |     P2      |     P3      |     P4      |
-------|-------------|-------------|-------------|-------------|
    1  | +0.036843 | -0.086699 | -0.017283 | +0.016614 |
    2  | -0.069693 | +0.008532 | +0.024094 | -0.062756 |
    3  | -0.012408 | -0.051514 | -0.047096 | -0.066506 |
    4  | +0.031435 | -0.018689 | +0.048077 | -0.076157 |
    5  | +0.049095 | +0.004784 | +0.059205 | -0.059248 |
    6  | -0.026006 | +0.025114 | +0.030376 | +0.084965 |
    7  | +0.025866 | +0.039614 | -0.077164 | +0.035441 |
    8  | -0.027761 | +0.046034 | +0.036173 | +0.072460 |
