t,x,y,z
628.3185307179587,0.98784941573006,0.0,0.0
628.2713254061485,0.9878505767784921,-3.44112057477402e-7,-5.143856598517296e-7
628.1706130249578,0.9878607967258841,-3.3730968799572376e-6,-5.04218512934266e-6
627.9801304437062,0.9879085125119098,-1.7514638043657085e-5,-2.6181982953381415e-5
627.6689156149254,0.9880615272661123,-6.285354114469499e-5,-9.3973485008721e-5
627.3161967016085,0.9883295950826646,-0.00014221915093031527,-0.0002127434094581938
626.9406393232119,0.9886884636774566,-0.0002482664892471636,-0.0003717702393501625
626.54028291422,0.9890974997678127,-0.0003687045873329006,-0.0005531146886602839
626.122884242542,0.9894825646727888,-0.0004813880424233933,-0.0007240390936395373
625.6885686689911,0.9897662009358947,-0.0005634774259360461,-0.000850353477843194
625.2397053700868,0.9898772330167238,-0.0005944573022903591,-0.0009005802759802742
624.7756865471449,0.9897740753552832,-0.0005628874735915645,-0.0008561812116030479
624.2958511455382,0.9894589064900788,-0.0004701483699306121,-0.0007177735603688376
623.8007574901851,0.9889893987407958,-0.0003333251465289165,-0.0005103861475236921
623.2945333937561,0.9884782493540972,-0.0001847901698226762,-0.0002834780750619656
622.7800449201297,0.9880616309737039,-6.33482340723538e-5,-9.724882076346257e-5
622.2575874212038,0.9878577751792185,-2.8646716901672114e-6,-4.391813040075851e-6
621.72812345691,0.9879329111856815,-2.2708692045171325e-5,-3.491031577698496e-5
621.1984102368971,0.9882706216254042,-0.00011859801263989924,-0.0001823395503155187
620.6750380127169,0.9887695684638352,-0.00026139460332808923,-0.0004024461667419018
620.1578148204097,0.9892894066071574,-0.00041032961656111637,-0.0006334122864087779
619.6447921606988,0.9896926434092158,-0.0005256014372959657,-0.0008143605532791181
619.1327291506865,0.9898761325094613,-0.0005778522507183439,-0.0008992462081486175
618.6179535607973,0.9897907469111327,-0.000553680542819071,-0.0008655239933622418
618.0964962094263,0.9894520367700343,-0.00045805754121008396,-0.0007189384664994362
617.5665753304283,0.9889437307933999,-0.0003146461247296468,-0.0004953355271149045
617.0320608670875,0.988409202139664,-0.0001632422393438317,-0.00025739660183753924
616.4948033045994,0.9880044495200645,-4.7129204632498394e-5,-7.430317382518845e-5
615.9537486048594,0.9878494141879373,-1.0766319235507606e-7,-1.6608890726599077e-7
