Initial Conditions for C = 3.0
==================================================
  Traj |     P1      |     P2      |     P3      |     P4      |
-------|-------------|-------------|-------------|-------------|
    1  | -0.067346 | +0.013857 | -0.068159 | -0.008694 |
    2  | +0.038619 | -0.040796 | +0.037141 | +0.070097 |
    3  | -0.063421 | -0.002458 | -0.055191 | +0.048728 |
    4  | +0.064752 | -0.037413 | -0.035121 | +0.051212 |
    5  | -0.000253 | +0.037131 | -0.081913 | -0.036882 |
    6  | -0.065354 | +0.054992 | +0.003179 | -0.046297 |
    7  | -0.060825 | -0.012391 | +0.024764 | -0.070585 |
    8  | +0.092828 | +0.014670 | +0.017908 | -0.017197 |
