Initial Conditions for C = 2.9
==================================================
  Traj |     P1      |     P2      |     P3      |     P4      |
-------|-------------|-------------|-------------|-------------|
    1  | -0.030851 | +0.001912 | +0.092148 | -0.001453 |
    2  | +0.059082 | +0.050220 | -0.042130 | +0.040756 |
    3  | +0.023704 | +0.047392 | +0.081490 | +0.000449 |
    4  | +0.051267 | -0.032268 | +0.075793 | +0.005886 |
    5  | +0.049164 | -0.031734 | -0.033500 | -0.070017 |
    6  | +0.002678 | -0.030477 | +0.080429 | -0.045208 |
    7  | +0.012282 | +0.018494 | +0.056275 | +0.076085 |
    8  | -0.064090 | -0.043866 | +0.033967 | -0.047574 |
